basin,year,storm_name,timestamp,data1d_file,env_path,data3d_path,data3d_exists,split,future_direction24,future_inte_change24,has_history12,has_history24,delta_lon_norm,delta_lat_norm
EP,1988,ALETTA,1988061618,EP1988BSTALETTA.txt,Env-Data/EP/1988/ALETTA/1988061618.npy,Data3D/EP/1988/ALETTA/TCND_ALETTA_1988061618_sst_z_u_v.nc,True,train,6,0,False,False,-0.019000000000000128,0.30000000000000027
EP,1988,ALETTA,1988061700,EP1988BSTALETTA.txt,Env-Data/EP/1988/ALETTA/1988061700.npy,Data3D/EP/1988/ALETTA/TCND_ALETTA_1988061700_sst_z_u_v.nc,True,train,6,0,False,False,-0.0600000000000005,0.26000000000000023
EP,1988,ALETTA,1988061706,EP1988BSTALETTA.txt,Env-Data/EP/1988/ALETTA/1988061706.npy,Data3D/EP/1988/ALETTA/TCND_ALETTA_1988061706_sst_z_u_v.nc,True,train,6,0,True,False,-0.08000000000000007,0.24099999999999966
EP,1988,ALETTA,1988061712,EP1988BSTALETTA.txt,Env-Data/EP/1988/ALETTA/1988061712.npy,Data3D/EP/1988/ALETTA/TCND_ALETTA_1988061712_sst_z_u_v.nc,True,train,6,0,True,False,-0.10000000000000142,0.23999999999999977
EP,1988,ALETTA,1988061718,EP1988BSTALETTA.txt,Env-Data/EP/1988/ALETTA/1988061718.npy,Data3D/EP/1988/ALETTA/TCND_ALETTA_1988061718_sst_z_u_v.nc,True,train,5,0,True,True,-0.14100000000000001,0.23899999999999988
EP,1988,ALETTA,1988061800,EP1988BSTALETTA.txt,Env-Data/EP/1988/ALETTA/1988061800.npy,Data3D/EP/1988/ALETTA/TCND_ALETTA_1988061800_sst_z_u_v.nc,True,train,5,2,True,True,-0.1999999999999993,0.21999999999999975
EP,1988,ALETTA,1988061806,EP1988BSTALETTA.txt,Env-Data/EP/1988/ALETTA/1988061806.npy,Data3D/EP/1988/ALETTA/TCND_ALETTA_1988061806_sst_z_u_v.nc,True,train,5,2,True,True,-0.277000000000001,0.18400000000000016
EP,1988,ALETTA,1988061812,EP1988BSTALETTA.txt,Env-Data/EP/1988/ALETTA/1988061812.npy,Data3D/EP/1988/ALETTA/TCND_ALETTA_1988061812_sst_z_u_v.nc,True,train,5,2,True,True,-0.33999999999999986,0.16000000000000014
EP,1988,ALETTA,1988061818,EP1988BSTALETTA.txt,Env-Data/EP/1988/ALETTA/1988061818.npy,Data3D/EP/1988/ALETTA/TCND_ALETTA_1988061818_sst_z_u_v.nc,True,train,4,2,True,True,-0.40000000000000036,0.10199999999999987
EP,1988,ALETTA,1988061900,EP1988BSTALETTA.txt,Env-Data/EP/1988/ALETTA/1988061900.npy,Data3D/EP/1988/ALETTA/TCND_ALETTA_1988061900_sst_z_u_v.nc,True,train,4,2,True,True,-0.4400000000000013,0.06000000000000005
EP,1988,ALETTA,1988061906,EP1988BSTALETTA.txt,Env-Data/EP/1988/ALETTA/1988061906.npy,Data3D/EP/1988/ALETTA/TCND_ALETTA_1988061906_sst_z_u_v.nc,True,train,4,2,True,True,-0.4599999999999991,0.03600000000000003
EP,1988,ALETTA,1988061912,EP1988BSTALETTA.txt,Env-Data/EP/1988/ALETTA/1988061912.npy,Data3D/EP/1988/ALETTA/TCND_ALETTA_1988061912_sst_z_u_v.nc,True,train,4,2,True,True,-0.4599999999999991,0.0
EP,1988,ALETTA,1988061918,EP1988BSTALETTA.txt,Env-Data/EP/1988/ALETTA/1988061918.npy,Data3D/EP/1988/ALETTA/TCND_ALETTA_1988061918_sst_z_u_v.nc,True,train,4,2,True,True,-0.4399999999999995,-0.0019999999999997797
EP,1988,ALETTA,1988062000,EP1988BSTALETTA.txt,Env-Data/EP/1988/ALETTA/1988062000.npy,Data3D/EP/1988/ALETTA/TCND_ALETTA_1988062000_sst_z_u_v.nc,True,train,4,2,True,True,-0.41999999999999993,-0.020000000000000018
