Basin,Model,MAE (km),Median (km),Dir Acc,Dir F1,R² lon,R² lat,Training Basin
WP,Reg LSTM,214.4,171.2,0.6093,0.4068,0.8053,0.6549,WP (in-domain)
WP,Reg CNN,138.3,113.4,0.7169,0.5437,0.9167,0.8160,WP (in-domain)
EP,Reg LSTM,1079.9,1067.2,0.0327,0.0124,-20.7663,-1.8011,WP
EP,Reg CNN,136.8,119.7,0.6619,0.3488,0.6983,0.5045,WP
NA,Reg CNN,203.9,165.8,0.6320,0.4756,0.8637,0.6868,WP
NI,Reg LSTM,1339.1,1433.6,0.3257,0.0769,-22.7854,-0.0369,WP
NI,Reg CNN,151.7,115.2,0.5526,0.3955,0.2527,0.6135,WP
SI,Reg LSTM,1187.5,1182.7,0.2697,0.0831,-12.3268,-4.7518,WP
SI,Reg CNN,351.0,321.0,0.1719,0.1151,0.4430,-1.7877,WP
SP,Reg LSTM,484.0,403.1,0.2283,0.1156,-0.2184,-0.8277,WP
SP,Reg CNN,388.1,335.7,0.1640,0.1171,0.4702,-1.3278,WP
