basin,year,storm_name,peak_wind,duration_h,integrated_intensity,ace,ri_events,is_cat4plus,max_24h_delta,decade,n_timesteps
WP,1950,Billie,35.0,162,3675.0,18175.0,1,False,20.0,1950,28
WP,1950,Clara,65.0,354,9510.0,77400.0,4,True,25.0,1950,60
WP,1950,Delilah,30.0,168,3282.0,12150.0,3,False,25.0,1950,29
WP,1950,Doris,70.0,234,10335.0,95225.0,2,True,20.0,1950,40
WP,1950,Ellen,30.0,60,1170.0,3975.0,1,False,25.0,1950,11
WP,1950,Elsie,45.0,132,2325.0,12750.0,1,False,30.0,1950,23
WP,1950,Fran,40.0,150,3648.0,16575.0,2,False,25.0,1950,26
WP,1950,Grace,35.0,222,4497.0,19375.0,1,False,20.0,1950,38
WP,1950,Helene,30.0,54,1440.0,7125.0,0,False,5.0,1950,10
WP,1950,Ida(1)(2),35.0,306,7200.0,28475.0,0,False,5.0,1950,52
WP,1950,Ida(3),35.0,72,2310.0,12850.0,0,False,10.0,1950,13
WP,1950,Jane,60.0,204,4635.0,30925.0,4,True,20.0,1950,35
WP,1950,Kezia,60.0,288,9882.0,73275.0,0,True,15.0,1950,49
WP,1950,Lucretia_Nancy,30.0,180,2760.0,9950.0,3,False,20.0,1950,31
WP,1950,Missatha,35.0,192,3120.0,12325.0,1,False,20.0,1950,33
WP,1950,Ossia,35.0,258,5937.0,27000.0,2,False,20.0,1950,44
WP,1950,Petie,45.0,156,5130.0,30475.0,3,False,35.0,1950,27
WP,1950,Ruby,60.0,198,4605.0,37875.0,4,True,30.0,1950,34
WP,1951,Amy,55.0,384,12939.0,85950.0,4,True,30.0,1950,65
WP,1951,Babs,40.0,150,4224.0,21400.0,0,False,15.0,1950,26
WP,1951,Georgia,50.0,216,5232.0,30125.0,1,False,20.0,1950,37
WP,1951,Hope,30.0,210,4137.0,12050.0,0,False,10.0,1950,36
WP,1951,Iris,80.0,390,12702.0,96625.0,4,True,45.0,1950,66
WP,1951,Joan,30.0,264,3270.0,9900.0,0,False,15.0,1950,45
WP,1951,Kate,35.0,174,4065.0,15925.0,0,False,15.0,1950,30
WP,1951,Louise,80.0,240,11214.0,104150.0,4,True,20.0,1950,41
WP,1951,Marge,90.0,342,17610.0,176550.0,6,True,30.0,1950,58
WP,1951,Nora,40.0,186,4977.0,24700.0,0,False,15.0,1950,32
WP,1951,Ora,45.0,240,5832.0,24525.0,0,False,15.0,1950,41
WP,1951,Pat,35.0,330,4002.0,11025.0,0,False,10.0,1950,56
WP,1951,Ruth,75.0,246,8820.0,82575.0,3,True,20.0,1950,42
WP,1951,Sarah,45.0,156,3090.0,19925.0,4,False,40.0,1950,27
WP,1951,Thelma,60.0,132,4485.0,35625.0,1,True,20.0,1950,23
WP,1951,Vera,35.0,132,2655.0,9000.0,1,False,20.0,1950,23
WP,1951,Wanda,40.0,228,6696.0,34400.0,0,False,15.0,1950,39
WP,1952,Agness,75.0,228,10545.0,95500.0,7,True,25.0,1950,39
WP,1952,Bess,75.0,246,7740.0,72675.0,6,True,40.0,1950,42
WP,1952,Carmen,55.0,222,5190.0,35200.0,6,True,30.0,1950,38
WP,1952,Charlotte,40.0,138,3504.0,16625.0,0,False,15.0,1950,24
WP,1952,Della,45.0,174,4710.0,24725.0,2,False,20.0,1950,30
WP,1952,Dinah,45.0,180,4425.0,22350.0,0,False,10.0,1950,31
WP,1952,Emma,45.0,204,7245.0,45825.0,0,False,15.0,1950,35
WP,1952,Faye,35.0,156,3033.0,9450.0,1,False,20.0,1950,27
WP,1952,Freda,25.0,144,2070.0,6150.0,0,False,15.0,1950,25
WP,1952,Gilda,30.0,150,1923.0,3350.0,0,False,15.0,1950,26
WP,1952,Gloria,35.0,150,4650.0,24750.0,0,False,10.0,1950,26
WP,1952,Harriet,40.0,174,3531.0,14550.0,0,False,15.0,1950,30
WP,1952,Hester,60.0,228,9570.0,74975.0,1,True,20.0,1950,39
WP,1952,Ivy,25.0,66,1410.0,4900.0,0,False,5.0,1950,12
WP,1952,Jeanne,30.0,72,1560.0,5575.0,0,False,10.0,1950,13
WP,1952,Jeanne(-)1,25.0,156,1245.0,4900.0,0,False,0.0,1950,27
WP,1952,Karen,50.0,276,6720.0,42425.0,1,False,25.0,1950,47
WP,1952,Lois,40.0,186,3810.0,13225.0,0,False,15.0,1950,32
WP,1952,Mary,35.0,180,3585.0,14025.0,1,False,20.0,1950,31
WP,1952,Nona,40.0,156,4065.0,19850.0,2,False,20.0,1950,27
WP,1952,Olive,60.0,144,7440.0,67825.0,1,True,20.0,1950,25
WP,1952,Polly,40.0,276,4710.0,21350.0,3,False,20.0,1950,47
WP,1952,Rose,40.0,162,4845.0,25700.0,0,False,15.0,1950,28
WP,1952,Shirley,25.0,72,930.0,2450.0,1,False,20.0,1950,13
WP,1952,Trix,55.0,324,9810.0,65550.0,0,True,15.0,1950,55
WP,1952,Vae,45.0,174,2820.0,11025.0,1,False,25.0,1950,30
WP,1952,Wilma,70.0,216,10215.0,90175.0,6,True,25.0,1950,37
WP,1953,Alice,70.0,270,9600.0,66000.0,1,True,20.0,1950,46
WP,1953,Betty,55.0,180,5346.0,36175.0,4,True,25.0,1950,31
WP,1953,Cora,50.0,234,5580.0,33850.0,3,False,20.0,1950,40
WP,1953,Doris,60.0,330,11520.0,89700.0,2,True,20.0,1950,56
WP,1953,Irma,50.0,138,4272.0,25850.0,2,False,20.0,1950,24
WP,1953,Judy,60.0,234,7995.0,52950.0,3,True,25.0,1950,40
WP,1953,Kit,80.0,252,11379.0,116450.0,6,True,30.0,1950,43
WP,1953,Lola,50.0,168,6150.0,40475.0,2,False,20.0,1950,29
WP,1953,Mamie,35.0,228,5610.0,26550.0,3,False,30.0,1950,39
WP,1953,Nina,90.0,432,15336.0,144875.0,8,True,40.0,1950,73
WP,1953,Ophelia,50.0,162,4473.0,25625.0,3,False,20.0,1950,28
WP,1953,Phyllis,45.0,126,2730.0,16675.0,6,False,30.0,1950,22
WP,1953,Rita,65.0,258,11319.0,99750.0,6,True,30.0,1950,44
WP,1953,Susan,50.0,186,4176.0,25200.0,6,False,25.0,1950,32
WP,1953,Tess,75.0,288,9150.0,70050.0,5,True,40.0,1950,49
WP,1953,Viola,40.0,222,4548.0,17625.0,3,False,25.0,1950,38
WP,1953,Winnie,35.0,126,2160.0,8450.0,0,False,15.0,1950,22
WP,1954,Elsie,50.0,186,5160.0,26100.0,2,False,25.0,1950,32
WP,1954,Flossie,40.0,132,2580.0,12100.0,5,False,30.0,1950,23
WP,1954,Grace,55.0,282,7590.0,49350.0,0,True,15.0,1950,48
WP,1954,Helen,40.0,264,3960.0,19650.0,4,False,20.0,1950,45
WP,1954,Ida,85.0,168,8655.0,93375.0,11,True,40.0,1950,29
WP,1954,June,85.0,300,13695.0,129000.0,10,True,25.0,1950,51
WP,1954,Kathy,60.0,282,5010.0,27425.0,6,True,25.0,1950,48
WP,1954,Lorna,55.0,276,7485.0,47100.0,1,True,20.0,1950,47
WP,1954,Marie,40.0,270,4920.0,20725.0,0,False,15.0,1950,46
WP,1954,Nancy,45.0,168,4860.0,28225.0,6,False,30.0,1950,29
WP,1954,Olga,70.0,162,7260.0,65875.0,9,True,30.0,1950,28
WP,1954,Pamela,85.0,270,11520.0,114875.0,9,True,35.0,1950,46
WP,1954,Ruby,75.0,222,9765.0,81150.0,3,True,25.0,1950,38
WP,1954,Sally,80.0,210,10860.0,109475.0,4,True,45.0,1950,36
WP,1954,Tilda,75.0,168,6900.0,56400.0,6,True,20.0,1950,29
WP,1955,Anita,45.0,318,8064.0,44900.0,0,False,15.0,1950,54
WP,1955,Billie,35.0,234,2724.0,9975.0,0,False,15.0,1950,40
WP,1955,Clara,75.0,318,10086.0,76500.0,3,True,20.0,1950,54
WP,1955,Dot,35.0,96,1839.0,5550.0,0,False,15.0,1950,17
WP,1955,Ellen,40.0,288,5304.0,23200.0,0,False,15.0,1950,49
WP,1955,Fran,45.0,132,2430.0,13450.0,2,False,25.0,1950,23
WP,1955,Georgia,50.0,150,4701.0,27350.0,3,False,25.0,1950,26
WP,1955,Hope,45.0,390,9144.0,43150.0,0,False,15.0,1950,66
WP,1955,Iris,45.0,120,3285.0,16700.0,2,False,20.0,1950,21
WP,1955,Joan,40.0,204,3594.0,16300.0,0,False,15.0,1950,35
WP,1955,Kate,65.0,192,7245.0,54400.0,5,True,25.0,1950,33
WP,1955,Louise,70.0,282,11319.0,89675.0,5,True,30.0,1950,48
WP,1955,Marge,50.0,180,4938.0,27925.0,1,False,20.0,1950,31
WP,1955,Nora,45.0,222,5685.0,30850.0,0,False,10.0,1950,38
WP,1955,Opal,35.0,180,2604.0,13100.0,4,False,25.0,1950,31
WP,1955,Patsy,65.0,222,5445.0,28250.0,4,True,35.0,1950,38
WP,1955,Ruth,90.0,132,6570.0,66750.0,6,True,40.0,1950,23
WP,1955,Violet,35.0,180,3300.0,13125.0,0,False,10.0,1950,31
WP,1955,Wilda,40.0,228,3840.0,14700.0,0,False,10.0,1950,39
WP,1956,Amy,40.0,84,1797.0,7275.0,2,False,25.0,1950,15
WP,1956,Babs,50.0,204,6705.0,41000.0,1,False,20.0,1950,35
WP,1956,Charlotte,55.0,180,6075.0,38125.0,1,True,20.0,1950,31
WP,1956,Dinah,45.0,174,5220.0,30075.0,2,False,20.0,1950,30
WP,1956,Emma,70.0,234,10815.0,99250.0,3,True,20.0,1950,40
WP,1956,Freda,50.0,288,6681.0,30600.0,0,False,15.0,1950,49
WP,1956,Gilda,75.0,204,7185.0,53825.0,3,True,25.0,1950,35
WP,1956,Harriet,50.0,210,6180.0,38225.0,0,False,15.0,1950,36
WP,1956,Ivy,40.0,114,3240.0,16775.0,1,False,25.0,1950,20
WP,1956,Jean,60.0,270,10410.0,79400.0,8,True,35.0,1950,46
WP,1956,Karen_Lucille,45.0,342,7140.0,25100.0,0,False,15.0,1950,58
WP,1956,Nadine,35.0,72,1500.0,6800.0,3,False,30.0,1950,13
WP,1956,Olive,35.0,102,3051.0,15875.0,1,False,23.000000000000004,1950,18
WP,1956,Polly,40.0,78,2280.0,11725.0,1,False,20.0,1950,14
WP,1956,Sarah,60.0,276,10635.0,73775.0,0,True,15.0,1950,47
WP,1956,Thelma,75.0,210,9570.0,83550.0,5,True,20.0,1950,36
WP,1956,Vera,35.0,96,2292.0,10150.0,0,False,10.0,1950,17
WP,1956,Wanda,90.0,234,9735.0,100850.0,10,True,25.0,1950,40
WP,1957,Agnes,80.0,324,10755.0,83900.0,4,True,25.0,1950,55
WP,1957,Bess,50.0,354,12060.0,88900.0,2,False,25.0,1950,60
WP,1957,Carmen,60.0,228,6807.0,51450.0,2,True,30.0,1950,39
WP,1957,Elaine,70.0,150,5445.0,52600.0,5,True,35.0,1950,26
WP,1957,Faye,80.0,288,9945.0,82550.0,7,True,40.0,1950,49
WP,1957,Gloria,45.0,162,3519.0,16950.0,2,False,20.0,1950,28
WP,1957,Hester,90.0,234,7050.0,62450.0,6,True,40.0,1950,40
WP,1957,Irma,35.0,138,3132.0,13050.0,2,False,20.0,1950,24
WP,1957,Judy,60.0,270,6660.0,48325.0,5,True,25.0,1950,46
WP,1957,Kit,90.0,318,10020.0,88825.0,10,True,35.0,1950,54
WP,1957,Lola,90.0,312,14910.0,168900.0,10,True,25.0,1950,53
WP,1957,Mamie,55.0,168,5595.0,37150.0,0,True,15.0,1950,29
WP,1957,Rose,75.0,216,7380.0,58075.0,10,True,35.0,1950,37
WP,1957,Shirley,65.0,168,4740.0,27475.0,6,True,25.0,1950,29
WP,1957,Trix,65.0,342,16110.0,134800.0,0,True,15.0,1950,58
WP,1957,Virginia,90.0,246,11295.0,115650.0,7,True,35.0,1950,42
WP,1957,Wendy,50.0,156,4632.0,25450.0,4,False,25.0,1950,27
WP,1958,Alice,75.0,276,10170.0,87975.0,5,True,35.0,1950,47
WP,1958,Betty,30.0,72,1047.0,2325.0,0,False,15.0,1950,13
WP,1958,Doris,80.0,198,9165.0,91375.0,4,True,35.0,1950,34
WP,1958,Elsie,60.0,132,4290.0,33050.0,2,True,30.0,1950,23
WP,1958,Flossie,50.0,198,5160.0,32775.0,3,False,25.0,1950,34
WP,1958,Grace,100.0,288,11199.0,126675.0,10,True,40.0,1950,49
WP,1958,Helen,85.0,264,12855.0,123250.0,6,True,35.0,1950,45
WP,1958,Ida,110.0,210,11052.0,136450.0,9,True,55.0,1950,36
WP,1958,Kathy,50.0,204,5871.0,31700.0,0,False,15.0,1950,35
WP,1958,Lorna,65.0,366,9720.0,66550.0,7,True,20.0,1950,62
WP,1958,Marie,70.0,270,12840.0,120600.0,5,True,40.0,1950,46
WP,1958,Nancy,80.0,138,5520.0,48125.0,7,True,35.0,1950,24
WP,1958,Olga,70.0,198,7200.0,59175.0,1,True,20.0,1950,34
WP,1958,Ophelia,75.0,264,12735.0,118650.0,5,True,55.0,1950,45
WP,1958,Pamela,25.0,108,1500.0,4900.0,3,False,25.0,1950,19
WP,1958,Phyllis,80.0,306,12606.0,113725.0,7,True,25.0,1950,52
WP,1958,Rita,40.0,138,3135.0,14250.0,1,False,20.0,1950,24
WP,1958,Susan,45.0,138,2940.0,14800.0,1,False,25.0,1950,24
WP,1958,Tess,35.0,180,3345.0,10125.0,0,False,15.0,1950,31
WP,1958,Viola,60.0,228,6240.0,40600.0,4,True,25.0,1950,39
WP,1958,Winnie,75.0,144,7080.0,68950.0,6,True,35.0,1950,25
WP,1959,Amy,45.0,150,3600.0,14575.0,0,False,15.0,1950,26
WP,1959,Babs,25.0,144,2094.0,3300.0,0,False,13.000000000000004,1950,25
WP,1959,Billie,45.0,270,5940.0,28150.0,0,False,15.0,1950,46
WP,1959,Charlotte,90.0,300,13290.0,132950.0,10,True,30.0,1950,51
WP,1959,Dinah,100.0,264,12405.0,142325.0,10,True,35.0,1950,45
WP,1959,Ellen,50.0,342,7620.0,47325.0,3,False,20.0,1950,58
WP,1959,Emma,60.0,348,7890.0,48025.0,1,True,20.0,1950,59
WP,1959,Freda,65.0,192,7125.0,51975.0,2,True,25.0,1950,33
WP,1959,Georgia,55.0,150,3030.0,20675.0,6,True,40.0,1950,26
WP,1959,Gilda,85.0,228,11565.0,118525.0,8,True,30.0,1950,39
WP,1959,Harriet,75.0,306,12330.0,110125.0,3,True,30.0,1950,52
WP,1959,Hope,15.0,150,456.0,0.0,0,False,15.0,1950,26
WP,1959,Iris,50.0,108,3414.0,20825.0,2,False,25.0,1950,19
WP,1959,Joan,100.0,150,7680.0,86550.0,10,True,35.0,1950,26
