basin,year,storm_name,peak_wind,duration_h,integrated_intensity,ace,ri_events,is_cat4plus,max_24h_delta,decade,n_timesteps
EP,1988,ALETTA,30.875,114,2292.2999999999997,8147.499999999999,0,False,12.875,1980,20
EP,1988,CARLOTTA,33.45,162,3441.375,11450.648125000002,0,False,10.3,1980,28
EP,1988,DANIEL,28.299999999999997,174,3726.9,12624.466874999998,0,False,10.3,1980,30
EP,1988,EMILIA,30.875,144,2661.6,6200.670625,0,False,12.875,1980,25
EP,1988,FABIO,61.725,288,8140.2,44263.91625,2,True,15.425000000000004,1980,49
EP,1988,GILMA,23.15,144,2106.0,2566.50625,0,False,10.3,1980,25
EP,1988,HECTOR,64.3,240,8611.2,59646.99187500001,5,True,30.85,1980,41
EP,1988,IVA,46.3,210,5320.05,26023.123125,1,False,15.450000000000003,1980,36
EP,1988,JOAN-MIRIAM,30.875,204,3625.95,7312.813749999999,0,False,7.725000000000001,1980,35
EP,1988,JOHN,18.0,108,1596.6,972.0,0,False,5.150000000000002,1980,19
EP,1988,KRISTY,41.15,204,4691.325000000001,19225.104375,0,False,10.300000000000004,1980,35
EP,1988,LANE,46.3,222,6196.200000000001,31723.846875,2,False,15.425000000000004,1980,38
EP,1989,ADOLPH,28.299999999999997,120,2553.9749999999995,8463.454375000001,0,False,12.874999999999996,1980,21
EP,1989,BARBARA,36.0,126,2831.6999999999994,10719.736875,0,False,12.875000000000004,1980,22
EP,1989,COSME,38.575,114,2592.5249999999996,9607.465,0,False,12.874999999999996,1980,20
EP,1989,DALILIA,41.15,132,3996.6749999999997,22173.614374999997,2,False,15.450000000000003,1980,23
EP,1989,FLOSSIE,18.0,108,1650.4499999999998,1944.0,0,False,5.150000000000002,1980,19
EP,1989,GIL,38.575,156,3548.85,13912.550625000002,3,False,20.575,1980,27
EP,1989,ISMAEL,54.025000000000006,270,9166.800000000001,58670.9325,4,True,20.575000000000003,1980,46
EP,1989,JULIETTE,28.299999999999997,102,1913.25,4532.584375,0,False,12.874999999999996,1980,18
EP,1989,KIKO,54.025000000000006,102,2754.7499999999995,15286.116875000003,4,True,33.45,1980,18
EP,1989,LORENA,33.45,240,4899.75,15732.040625000001,0,False,7.725000000000001,1980,41
EP,1989,NARDA,23.15,120,2090.5499999999997,4934.35125,0,False,5.150000000000002,1980,21
EP,1989,OCTAVE,59.15,192,5547.75,32268.971875,6,True,23.150000000000006,1980,33
EP,1989,PRISCILLA,28.299999999999997,108,2067.6,5491.837499999999,0,False,10.3,1980,19
EP,1989,RAYMOND,64.3,258,9159.3,65423.359375,4,True,18.0,1980,44
EP,1990,ALMA,38.575,138,3140.2499999999995,12193.991875,1,False,15.450000000000003,1990,24
EP,1990,BORIS,41.15,138,3263.7,13542.650624999998,4,False,15.450000000000003,1990,24
EP,1990,CRISTINA,28.299999999999997,186,3541.4999999999995,9997.899375,0,False,5.150000000000002,1990,32
EP,1990,DOUGLAS,28.299999999999997,114,2507.775,8880.283124999998,0,False,10.3,1990,20
EP,1990,ELIDA,36.0,150,3533.7000000000003,14019.28375,0,False,12.875000000000004,1990,26
EP,1990,FAUSTO,38.575,162,3950.4,17424.02,1,False,15.425000000000004,1990,28
EP,1990,GENEVIEVE,46.3,204,5832.900000000001,30893.733125,0,False,12.875000000000004,1990,35
EP,1990,HERNAN,69.45,276,10432.349999999999,80890.631875,8,True,25.72500000000001,1990,47
EP,1990,ISELLE,54.025000000000006,240,8611.8,57951.725000000006,0,True,12.875,1990,41
EP,1990,JULIO,51.45,186,5694.6,33474.200625,0,True,12.875000000000004,1990,32
EP,1990,KENNA,38.575,210,5586.375,25728.468749999996,0,False,7.725000000000001,1990,36
EP,1990,LOWELL,33.45,210,4707.150000000001,17387.6375,0,False,10.300000000000004,1990,36
EP,1990,MARIE,61.725,324,12192.149999999998,87540.440625,7,True,20.575000000000003,1990,55
EP,1990,NORBERT,36.0,228,5347.65,21091.00875,0,False,12.875000000000004,1990,39
EP,1990,ODILE,64.3,204,6875.1,48594.751875,6,True,28.299999999999997,1990,35
