storm_name,year,duration_days,peak_wind_ms,category,n_timesteps,mae_km_Reg CNN,mae_km_Reg LSTM,mae_km_Reg Fusion,mae_km_Cls CNN,best_model
Surigae,2021,17.8,72.0,Super TY,71,366.7,348.3,338.6,133.5,Cls CNN
Bavi,2020,7.2,45.0,STY,29,298.2,398.1,288.1,146.6,Cls CNN
TEMBIN,2017,6.5,38.0,TY,26,292.8,349.8,296.2,12.7,Cls CNN
NORU,2017,20.5,52.0,Super TY,82,234.5,272.5,244.9,90.4,Cls CNN
In-fa,2021,14.8,42.0,STY,59,208.6,242.5,212.6,85.4,Cls CNN
Chanthu,2021,14.0,68.0,Super TY,56,326.3,381.4,357.1,102.5,Cls CNN
Chan-hom,2020,13.5,38.0,TY,54,292.4,252.5,273.0,76.9,Cls CNN
Lupit,2021,13.5,23.0,TS,54,431.4,400.8,493.3,111.7,Cls CNN
YUTU,2018,13.5,70.0,Super TY,54,242.3,280.0,271.2,55.1,Cls CNN
MAWAR,2023,13.5,59.1,Super TY,54,294.6,322.1,305.5,73.2,Cls CNN
TALIM,2017,13.2,52.0,Super TY,53,375.5,370.6,376.7,190.8,Cls CNN
KHANUN,2023,13.2,48.9,STY,53,193.8,245.4,201.5,71.9,Cls CNN
TRAMI,2018,13.2,60.0,Super TY,53,459.7,431.8,455.8,161.6,Cls CNN
Mindulle,2021,13.0,60.0,Super TY,52,426.5,399.0,443.0,207.3,Cls CNN
JONGDARI,2018,12.5,42.0,STY,50,306.0,327.3,314.8,134.4,Cls CNN
KROSA,2019,12.0,42.0,STY,48,307.1,286.9,325.3,111.3,Cls CNN
WUTIP,2019,12.0,58.0,Super TY,48,256.7,251.2,237.0,82.5,Cls CNN
SOULIK,2018,12.0,45.0,STY,48,344.0,389.0,366.2,120.8,Cls CNN
Omais,2021,11.8,25.0,STS,47,376.8,442.1,384.3,143.4,Cls CNN
JEBI,2018,11.2,65.0,Super TY,45,410.7,417.2,453.1,227.6,Cls CNN
